nat_abbr,station_id,lat,lon,elevation,grid_index,grid_lat,grid_lon,grid_elevation,distance_m,elevation_diff
MAG,50,46.160019,8.933608,203.0,765933,46.15821705985365,8.928962489679273,200.7,410.1,2.3
MAH,308,46.736977,6.567983,437.0,740950,46.73332432459314,6.562415067263261,434.2,587.4,2.8
MAR,143,46.118904,7.016597,990.0,780834,46.12272279168808,7.015758326536793,1161.7,429.5,-171.7
MAS,748,46.656521,7.069716,715.0,746056,46.65392995705219,7.065425822954946,726.5,436.1,-11.5
MER,11,46.732166,8.169261,589.0,777327,46.732004632009634,8.164983667487334,592.1,326.5,-3.1
MLS,38,46.546173,7.017769,1974.0,740540,46.540367346484935,7.010264787606012,1698.9,863.8,275.1
MOA,842,47.243832,8.23282,452.0,783619,47.23840828122177,8.237834770859392,459.4,712.1,-7.4
MOB,506,46.071018,7.225272,839.0,779569,46.07429345276531,7.2206038717335055,887.7,512.2,-48.7
MOE,301,47.572201,7.877911,344.0,607347,47.57500159696873,7.875483677318088,345.6,360.7,-1.6
MTE,317,46.147953,7.62402,1580.0,777805,46.149932510191505,7.619643033859596,1754.9,402.7,-174.9
MTR,414,46.410103,8.924742,2171.0,765574,46.41209451230718,8.927061595111097,1929.9,284.0,241.1
MUB,86,46.973244,7.278164,480.0,771330,46.97567031955603,7.279841321860906,504.1,298.3,-24.1
MVE,40,46.298771,7.460761,1422.0,778626,46.302834949989,7.4593312873954805,1443.4,465.0,-21.4
NAP,48,47.004646,7.940053,1404.0,769502,47.003458845698376,7.938505169606956,1264.5,176.6,139.5
NAS,863,46.817165,10.2614,2380.0,583863,46.81971206058395,10.262459161274357,2331.7,294.5,48.3
NEU,51,46.999996,6.953105,484.0,746869,46.99809292075345,6.954905139132497,443.5,251.8,40.5
OBR,1435,47.37661,9.612705,409.0,586764,47.37633295224037,9.611290966809241,407.9,110.8,1.1
ORO,850,46.572266,6.858239,827.0,740731,46.56767878619047,6.862879340289685,756.6,621.3,70.4
OTL,84,46.172218,8.787486,367.0,766119,46.16874134366494,8.785800470497916,255.7,407.8,111.3
PAY,32,46.811577,6.942409,489.0,746375,46.81284004063034,6.938693724967075,468.6,315.7,20.4
PFA,668,47.376816,8.754864,537.0,790941,47.378351627012684,8.75109252235449,541.1,331.4,-4.1
PIL,43,46.97887,8.252322,2105.0,782995,46.97760561138623,8.248722003388195,1856.1,307.2,248.9
PIO,46,46.514774,8.688111,989.0,766211,46.51427019140016,8.686740549817795,1044.2,118.9,-55.2
PLF,95,46.747696,7.26625,1042.0,772972,46.74779468063066,7.265048057220086,1003.1,92.2,38.9
